Plate	Patient	Cell_type	Well	Count
AS-207	EL	CD34+	A1	9
AS-207	EL	CD34+	A2	15
AS-207	EL	CD34+	A3	32
AS-207	EL	CD34+	A4	30
AS-207	EL	CD34+	A5	10
AS-207	EL	CD34+	A6	44
AS-207	EL	CD34+	A7	40
AS-207	EL	CD34+	A8	74
AS-207	EL	CD34+	A9	55
AS-207	EL	CD34+	A10	8
AS-207	EL	CD34+	A11	24
AS-207	EL	CD34+	A12	109
AS-207	EL	CD34+	A13	83
AS-207	EL	CD34+	A14	26
AS-207	EL	CD34+	A15	15
AS-207	EL	CD34+	A16	126
AS-207	EL	CD34+	A17	56
AS-207	EL	CD34+	A18	76
AS-207	EL	CD34+	A19	129
AS-207	EL	CD34+	A20	174
AS-207	EL	CD34+	A21	105
AS-207	EL	CD34+	A22	125
AS-207	EL	CD34+	A23	74
AS-207	EL	CD34+	A24	60
AS-207	EL	CD34+	B1	106
AS-207	EL	CD34+	B2	185
AS-207	EL	CD34+	B3	120
AS-207	EL	CD34+	B4	126
AS-207	EL	CD34+	B5	71
AS-207	EL	CD34+	B6	2011
AS-207	EL	CD34+	B7	166
AS-207	EL	CD34+	B8	352
AS-207	EL	CD34+	B9	188
AS-207	EL	CD34+	B10	116
AS-207	EL	CD34+	B11	1365
AS-207	EL	CD34+	B12	3248
AS-207	EL	CD34+	B13	5391
AS-207	EL	CD34+	B14	379
AS-207	EL	CD34+	B15	74
AS-207	EL	CD34+	B16	3201
AS-207	EL	CD34+	B17	363
AS-207	EL	CD34+	B18	694
AS-207	EL	CD34+	B19	1385
AS-207	EL	CD34+	B20	2283
AS-207	EL	CD34+	B21	1758
AS-207	EL	CD34+	B22	560
AS-207	EL	CD34+	B23	263
AS-207	EL	CD34+	B24	149
AS-207	EL	CD34+	C1	117
AS-207	EL	CD34+	C2	308
AS-207	EL	CD34+	C3	172
AS-207	EL	CD34+	C4	215
AS-207	EL	CD34+	C5	44
AS-207	EL	CD34+	C6	361
AS-207	EL	CD34+	C7	372
AS-207	EL	CD34+	C8	760
AS-207	EL	CD34+	C9	306
AS-207	EL	CD34+	C10	31
AS-207	EL	CD34+	C11	505
AS-207	EL	CD34+	C12	14324
AS-207	EL	CD34+	C13	681
AS-207	EL	CD34+	C14	599
AS-207	EL	CD34+	C15	70
AS-207	EL	CD34+	C16	3507
AS-207	EL	CD34+	C17	2523
AS-207	EL	CD34+	C18	729
AS-207	EL	CD34+	C19	3493
AS-207	EL	CD34+	C20	2117
AS-207	EL	CD34+	C21	1998
AS-207	EL	CD34+	C22	914
AS-207	EL	CD34+	C23	1794
AS-207	EL	CD34+	C24	180
AS-207	EL	CD34+	D1	73
AS-207	EL	CD34+	D2	164
AS-207	EL	CD34+	D3	108
AS-207	EL	CD34+	D4	2658
AS-207	EL	CD34+	D5	69
AS-207	EL	CD34+	D6	3215
AS-207	EL	CD34+	D7	141
AS-207	EL	CD34+	D8	630
AS-207	EL	CD34+	D9	337
AS-207	EL	CD34+	D10	26
AS-207	EL	CD34+	D11	95
AS-207	EL	CD34+	D12	3954
AS-207	EL	CD34+	D13	602
AS-207	EL	CD34+	D14	99
AS-207	EL	CD34+	D15	46
AS-207	EL	CD34+	D16	1310
AS-207	EL	CD34+	D17	3025
AS-207	EL	CD34+	D18	3345
AS-207	EL	CD34+	D19	1044
AS-207	EL	CD34+	D20	9350
AS-207	EL	CD34+	D21	751
AS-207	EL	CD34+	D22	312
AS-207	EL	CD34+	D23	910
AS-207	EL	CD34+	D24	158
AS-207	EL	CD34+	E1	190
AS-207	EL	CD34+	E2	478
AS-207	EL	CD34+	E3	226
AS-207	EL	CD34+	E4	260
AS-207	EL	CD34+	E5	79
AS-207	EL	CD34+	E6	864
AS-207	EL	CD34+	E7	214
AS-207	EL	CD34+	E8	760
AS-207	EL	CD34+	E9	3259
AS-207	EL	CD34+	E10	53
AS-207	EL	CD34+	E11	1560
AS-207	EL	CD34+	E12	4430
AS-207	EL	CD34+	E13	630
AS-207	EL	CD34+	E14	139
AS-207	EL	CD34+	E15	495
AS-207	EL	CD34+	E16	1059
AS-207	EL	CD34+	E17	3494
AS-207	EL	CD34+	E18	7042
AS-207	EL	CD34+	E19	5434
AS-207	EL	CD34+	E20	11212
AS-207	EL	CD34+	E21	5334
AS-207	EL	CD34+	E22	5582
AS-207	EL	CD34+	E23	486
AS-207	EL	CD34+	E24	285
AS-207	EL	CD34+	F1	59
AS-207	EL	CD34+	F2	125
AS-207	EL	CD34+	F3	119
AS-207	EL	CD34+	F4	144
AS-207	EL	CD34+	F5	65
AS-207	EL	CD34+	F6	366
AS-207	EL	CD34+	F7	474
AS-207	EL	CD34+	F8	245
AS-207	EL	CD34+	F9	254
AS-207	EL	CD34+	F10	41
AS-207	EL	CD34+	F11	101
AS-207	EL	CD34+	F12	453
AS-207	EL	CD34+	F13	1544
AS-207	EL	CD34+	F14	643
AS-207	EL	CD34+	F15	611
AS-207	EL	CD34+	F16	3842
AS-207	EL	CD34+	F17	276
AS-207	EL	CD34+	F18	293
AS-207	EL	CD34+	F19	1566
AS-207	EL	CD34+	F20	2294
AS-207	EL	CD34+	F21	2092
AS-207	EL	CD34+	F22	1477
AS-207	EL	CD34+	F23	546
AS-207	EL	CD34+	F24	874
AS-207	EL	CD34+	G1	58
AS-207	EL	CD34+	G2	137
AS-207	EL	CD34+	G3	1090
AS-207	EL	CD34+	G4	114
AS-207	EL	CD34+	G5	45
AS-207	EL	CD34+	G6	1817
AS-207	EL	CD34+	G7	1623
