Plate	Patient	Cell_type	Well	Count
AS-197	RN	CD34	A1	46
AS-197	RN	CD34	A2	230
AS-197	RN	CD34	A3	351
AS-197	RN	CD34	A4	590
AS-197	RN	CD34	A5	15
AS-197	RN	CD34	A6	337
AS-197	RN	CD34	A7	107
AS-197	RN	CD34	A8	497
AS-197	RN	CD34	A9	717
AS-197	RN	CD34	A10	21
AS-197	RN	CD34	A11	46
AS-197	RN	CD34	A12	1076
AS-197	RN	CD34	A13	564
AS-197	RN	CD34	A14	14
AS-197	RN	CD34	A15	11
AS-197	RN	CD34	A16	769
AS-197	RN	CD34	A17	1560
AS-197	RN	CD34	A18	600
AS-197	RN	CD34	A19	1177
AS-197	RN	CD34	A20	1565
AS-197	RN	CD34	A21	211
AS-197	RN	CD34	A22	308
AS-197	RN	CD34	A23	908
AS-197	RN	CD34	A24	70
AS-197	RN	CD34	B1	110
AS-197	RN	CD34	B2	639
AS-197	RN	CD34	B3	342
AS-197	RN	CD34	B4	976
AS-197	RN	CD34	B5	62
AS-197	RN	CD34	B6	2332
AS-197	RN	CD34	B7	424
AS-197	RN	CD34	B8	3054
AS-197	RN	CD34	B9	3514
AS-197	RN	CD34	B10	108
AS-197	RN	CD34	B11	183
AS-197	RN	CD34	B12	3591
AS-197	RN	CD34	B13	3167
AS-197	RN	CD34	B14	82
AS-197	RN	CD34	B15	56
AS-197	RN	CD34	B16	1896
AS-197	RN	CD34	B17	979
AS-197	RN	CD34	B18	3717
AS-197	RN	CD34	B19	2383
AS-197	RN	CD34	B20	4474
AS-197	RN	CD34	B21	1325
AS-197	RN	CD34	B22	2941
AS-197	RN	CD34	B23	2053
AS-197	RN	CD34	B24	229
AS-197	RN	CD34	C1	614
AS-197	RN	CD34	C2	1086
AS-197	RN	CD34	C3	335
AS-197	RN	CD34	C4	543
AS-197	RN	CD34	C5	42
AS-197	RN	CD34	C6	939
AS-197	RN	CD34	C7	463
AS-197	RN	CD34	C8	1912
AS-197	RN	CD34	C9	2454
AS-197	RN	CD34	C10	46
AS-197	RN	CD34	C11	122
AS-197	RN	CD34	C12	1572
AS-197	RN	CD34	C13	2230
AS-197	RN	CD34	C14	135
AS-197	RN	CD34	C15	53
