Plate	Patient	Cell_type	Well	Count
AS-219	GR	nBCs	H9	280
AS-219	GR	nBCs	H10	3
AS-219	GR	nBCs	H11	32
AS-219	GR	nBCs	H12	311
AS-219	GR	nBCs	H13	76
AS-219	GR	nBCs	H14	6
AS-219	GR	nBCs	H15	136
AS-219	GR	nBCs	H16	53
AS-219	GR	nBCs	H17	54
AS-219	GR	nBCs	H18	62
AS-219	GR	nBCs	H19	19727
AS-219	GR	nBCs	H20	87
AS-219	GR	nBCs	H21	34
AS-219	GR	nBCs	H22	78
AS-219	GR	nBCs	H23	255
AS-219	GR	nBCs	H24	233
AS-219	GR	nBCs	I1	4
AS-219	GR	nBCs	I2	100
AS-219	GR	nBCs	I3	139
AS-219	GR	nBCs	I4	73
AS-219	GR	nBCs	I5	21
AS-219	GR	nBCs	I6	25
AS-219	GR	nBCs	I7	73
AS-219	GR	nBCs	I8	79
AS-219	GR	nBCs	I9	214
AS-219	GR	nBCs	I10	2
AS-219	GR	nBCs	I11	18
AS-219	GR	nBCs	I12	215
AS-219	GR	nBCs	I13	96
AS-219	GR	nBCs	I14	4
AS-219	GR	nBCs	I15	87
AS-219	GR	nBCs	I16	35
AS-219	GR	nBCs	I17	32
AS-219	GR	nBCs	I18	39
AS-219	GR	nBCs	I19	106
AS-219	GR	nBCs	I20	54
AS-219	GR	nBCs	I21	31
AS-219	GR	nBCs	I22	45
AS-219	GR	nBCs	I23	212
AS-219	GR	nBCs	I24	205
AS-219	GR	nBCs	J1	47
AS-219	GR	nBCs	J2	300
AS-219	GR	nBCs	J3	264
AS-219	GR	nBCs	J4	153
AS-219	GR	nBCs	J5	74
AS-219	GR	nBCs	J6	133
AS-219	GR	nBCs	J7	207
AS-219	GR	nBCs	J8	240
AS-219	GR	nBCs	J9	524
AS-219	GR	nBCs	J10	8
AS-219	GR	nBCs	J11	8612
AS-219	GR	nBCs	J12	615
AS-219	GR	nBCs	J13	99
AS-219	GR	nBCs	J14	10
AS-219	GR	nBCs	J15	17
AS-219	GR	nBCs	J16	113
AS-219	GR	nBCs	J17	106
AS-219	GR	nBCs	J18	110
AS-219	GR	nBCs	J19	219
AS-219	GR	nBCs	J20	158
AS-219	GR	nBCs	J21	75
AS-219	GR	nBCs	J22	147
AS-219	GR	nBCs	J23	439
AS-219	GR	nBCs	J24	392
AS-219	GR	nBCs	K1	111
AS-219	GR	nBCs	K2	387
AS-219	GR	nBCs	K3	530
AS-219	GR	nBCs	K4	273
AS-219	GR	nBCs	K5	16835
AS-219	GR	nBCs	K6	165
AS-219	GR	nBCs	K7	1094
AS-219	GR	nBCs	K8	238
AS-219	GR	nBCs	K9	67659
AS-219	GR	nBCs	K10	13
AS-219	GR	nBCs	K11	66
AS-219	GR	nBCs	K12	745
AS-219	GR	nBCs	K13	183
AS-219	GR	nBCs	K14	26
AS-219	GR	nBCs	K15	25
AS-219	GR	nBCs	K16	196
AS-219	GR	nBCs	K17	151
AS-219	GR	nBCs	K18	194
AS-219	GR	nBCs	K19	353
AS-219	GR	nBCs	K20	191
AS-219	GR	nBCs	K21	140
AS-219	GR	nBCs	K22	241
AS-219	GR	nBCs	K23	773
AS-219	GR	nBCs	K24	642
AS-219	GR	nBCs	L1	52
AS-219	GR	nBCs	L2	212
AS-219	GR	nBCs	L3	255
AS-219	GR	nBCs	L4	85
AS-219	GR	nBCs	L5	24
AS-219	GR	nBCs	L6	74
AS-219	GR	nBCs	L7	24302
AS-219	GR	nBCs	L8	2163
AS-219	GR	nBCs	L9	369
AS-219	GR	nBCs	L10	9
AS-219	GR	nBCs	L11	27
AS-219	GR	nBCs	L12	327
AS-219	GR	nBCs	L13	83
AS-219	GR	nBCs	L14	8
AS-219	GR	nBCs	L15	6
AS-219	GR	nBCs	L16	938
AS-219	GR	nBCs	L17	45
AS-219	GR	nBCs	L18	74
AS-219	GR	nBCs	L19	133
AS-219	GR	nBCs	L20	86
AS-219	GR	nBCs	L21	52
AS-219	GR	nBCs	L22	96
AS-219	GR	nBCs	L23	308
AS-219	GR	nBCs	L24	274
AS-219	GR	nBCs	M1	14
AS-219	GR	nBCs	M2	80
AS-219	GR	nBCs	M3	141
AS-219	GR	nBCs	M4	1003
AS-219	GR	nBCs	M5	35
AS-219	GR	nBCs	M6	28
AS-219	GR	nBCs	M7	2449
AS-219	GR	nBCs	M8	65
AS-219	GR	nBCs	M9	1222
AS-219	GR	nBCs	M10	2
AS-219	GR	nBCs	M11	16
AS-219	GR	nBCs	M12	204
AS-219	GR	nBCs	M13	50
AS-219	GR	nBCs	M14	7
AS-219	GR	nBCs	M15	3
AS-219	GR	nBCs	M16	23
AS-219	GR	nBCs	M17	33
AS-219	GR	nBCs	M18	36
AS-219	GR	nBCs	M19	1958
AS-219	GR	nBCs	M20	47
AS-219	GR	nBCs	M21	47
AS-219	GR	nBCs	M22	46
AS-219	GR	nBCs	M23	222
AS-219	GR	nBCs	M24	183
AS-219	GR	nBCs	N1	117
AS-219	GR	nBCs	N2	386
AS-219	GR	nBCs	N3	561
AS-219	GR	nBCs	N4	268
AS-219	GR	nBCs	N5	114
AS-219	GR	nBCs	N6	165
AS-219	GR	nBCs	N7	310
AS-219	GR	nBCs	N8	264
AS-219	GR	nBCs	N9	38655
AS-219	GR	nBCs	N10	11
AS-219	GR	nBCs	N11	42
AS-219	GR	nBCs	N12	843
AS-219	GR	nBCs	N13	187
AS-219	GR	nBCs	N14	209
AS-219	GR	nBCs	N15	17
AS-219	GR	nBCs	N16	147
AS-219	GR	nBCs	N17	186
AS-219	GR	nBCs	N18	240
AS-219	GR	nBCs	N19	359
AS-219	GR	nBCs	N20	216
AS-219	GR	nBCs	N21	144
AS-219	GR	nBCs	N22	2723
AS-219	GR	nBCs	N23	103579
AS-219	GR	nBCs	N24	21432
AS-219	GR	nBCs	O1	53
AS-219	GR	nBCs	O2	227
AS-219	GR	nBCs	O3	344
AS-219	GR	nBCs	O4	18827
AS-219	GR	nBCs	O5	74
AS-219	GR	nBCs	O6	102
AS-219	GR	nBCs	O7	189
AS-219	GR	nBCs	O8	133
AS-219	GR	nBCs	O9	507
AS-219	GR	nBCs	O10	6
AS-219	GR	nBCs	O11	38
AS-219	GR	nBCs	O12	556
AS-219	GR	nBCs	O13	68
AS-219	GR	nBCs	O14	12
AS-219	GR	nBCs	O15	22
AS-219	GR	nBCs	O16	84
AS-219	GR	nBCs	O17	86
AS-219	GR	nBCs	O18	97
AS-219	GR	nBCs	O19	125
AS-219	GR	nBCs	O20	106
AS-219	GR	nBCs	O21	63
AS-219	GR	nBCs	O22	98
AS-219	GR	nBCs	O23	459
AS-219	GR	nBCs	O24	45920
AS-219	GR	nBCs	P1	5
AS-219	GR	nBCs	P2	75
AS-219	GR	nBCs	P3	83
AS-219	GR	nBCs	P4	43
AS-219	GR	nBCs	P5	17
AS-219	GR	nBCs	P6	30
AS-219	GR	nBCs	P7	48
AS-219	GR	nBCs	P8	42
AS-219	GR	nBCs	P9	147
AS-219	GR	nBCs	P10	2
AS-219	GR	nBCs	P11	6
AS-219	GR	nBCs	P12	150
AS-219	GR	nBCs	P13	54
AS-219	GR	nBCs	P14	15
AS-219	GR	nBCs	P15	9
AS-219	GR	nBCs	P16	89
AS-219	GR	nBCs	P17	117
AS-219	GR	nBCs	P18	284
AS-219	GR	nBCs	P19	173
AS-219	GR	nBCs	P20	127
AS-219	GR	nBCs	P21	55
AS-219	GR	nBCs	P22	52
AS-219	GR	nBCs	P23	148
AS-219	GR	nBCs	P24	216
