Plate	Patient	Cell_type	Well	Count
AS-204	EL	NEs	A1	2
AS-204	EL	NEs	A2	24
AS-204	EL	NEs	A3	36
AS-204	EL	NEs	A4	102
AS-204	EL	NEs	A5	17
AS-204	EL	NEs	A6	57
AS-204	EL	NEs	A7	1
AS-204	EL	NEs	A8	17
AS-204	EL	NEs	A9	93
AS-204	EL	NEs	A10	2
AS-204	EL	NEs	A11	2
AS-204	EL	NEs	A12	93
AS-204	EL	NEs	A13	9
AS-204	EL	NEs	A14	5
AS-204	EL	NEs	A15	2
AS-204	EL	NEs	A16	6
AS-204	EL	NEs	A17	30
AS-204	EL	NEs	A18	1
AS-204	EL	NEs	A19	40
AS-204	EL	NEs	A20	67
AS-204	EL	NEs	A21	12
AS-204	EL	NEs	A22	14
AS-204	EL	NEs	A23	28
AS-204	EL	NEs	A24	4
AS-204	EL	NEs	B1	6
AS-204	EL	NEs	B2	51
AS-204	EL	NEs	B3	71
AS-204	EL	NEs	B4	164
AS-204	EL	NEs	B5	54
AS-204	EL	NEs	B6	2967
AS-204	EL	NEs	B7	8
AS-204	EL	NEs	B8	37
AS-204	EL	NEs	B9	131
AS-204	EL	NEs	B10	6
AS-204	EL	NEs	B11	11
AS-204	EL	NEs	B12	177
AS-204	EL	NEs	B13	378
AS-204	EL	NEs	B14	8
AS-204	EL	NEs	B15	17
AS-204	EL	NEs	B16	46
AS-204	EL	NEs	B17	84
AS-204	EL	NEs	B18	21
AS-204	EL	NEs	B19	77
AS-204	EL	NEs	B20	122
AS-204	EL	NEs	B21	25
AS-204	EL	NEs	B22	32
AS-204	EL	NEs	B23	13
AS-204	EL	NEs	B24	20
AS-204	EL	NEs	C1	27
AS-204	EL	NEs	C2	74
AS-204	EL	NEs	C3	98
AS-204	EL	NEs	C4	5127
AS-204	EL	NEs	C5	16
AS-204	EL	NEs	C6	294
AS-204	EL	NEs	C7	21
AS-204	EL	NEs	C8	61
AS-204	EL	NEs	C9	215
AS-204	EL	NEs	C10	4
AS-204	EL	NEs	C11	13
AS-204	EL	NEs	C12	275
AS-204	EL	NEs	C13	73
AS-204	EL	NEs	C14	14
AS-204	EL	NEs	C15	22
AS-204	EL	NEs	C16	72
AS-204	EL	NEs	C17	113
AS-204	EL	NEs	C18	50
AS-204	EL	NEs	C19	116
AS-204	EL	NEs	C20	205
AS-204	EL	NEs	C21	51
AS-204	EL	NEs	C22	62
AS-204	EL	NEs	C23	40
AS-204	EL	NEs	C24	36
AS-204	EL	NEs	D1	20
AS-204	EL	NEs	D2	46
AS-204	EL	NEs	D3	65
AS-204	EL	NEs	D4	169
AS-204	EL	NEs	D5	23
AS-204	EL	NEs	D6	121
AS-204	EL	NEs	D7	8
AS-204	EL	NEs	D8	78
AS-204	EL	NEs	D9	179
AS-204	EL	NEs	D10	23
AS-204	EL	NEs	D11	77
AS-204	EL	NEs	D12	152
AS-204	EL	NEs	D13	43
AS-204	EL	NEs	D14	14
AS-204	EL	NEs	D15	17
AS-204	EL	NEs	D16	36
AS-204	EL	NEs	D17	92
AS-204	EL	NEs	D18	29
AS-204	EL	NEs	D19	1943
AS-204	EL	NEs	D20	157
AS-204	EL	NEs	D21	21
AS-204	EL	NEs	D22	29
AS-204	EL	NEs	D23	25
AS-204	EL	NEs	D24	18
AS-204	EL	NEs	E1	31
AS-204	EL	NEs	E2	1155
AS-204	EL	NEs	E3	3825
AS-204	EL	NEs	E4	180
AS-204	EL	NEs	E5	9
AS-204	EL	NEs	E6	128
AS-204	EL	NEs	E7	15
AS-204	EL	NEs	E8	77
AS-204	EL	NEs	E9	180
AS-204	EL	NEs	E10	11
AS-204	EL	NEs	E11	12
AS-204	EL	NEs	E12	222
AS-204	EL	NEs	E13	59
AS-204	EL	NEs	E14	3
AS-204	EL	NEs	E15	20
AS-204	EL	NEs	E16	48
AS-204	EL	NEs	E17	98
AS-204	EL	NEs	E18	55
AS-204	EL	NEs	E19	100
AS-204	EL	NEs	E20	215
AS-204	EL	NEs	E21	45
AS-204	EL	NEs	E22	73
AS-204	EL	NEs	E23	28
AS-204	EL	NEs	E24	50
AS-204	EL	NEs	F1	58
AS-204	EL	NEs	F2	106
AS-204	EL	NEs	F3	148
AS-204	EL	NEs	F4	1872
AS-204	EL	NEs	F5	2449
AS-204	EL	NEs	F6	7431
AS-204	EL	NEs	F7	43
AS-204	EL	NEs	F8	86
AS-204	EL	NEs	F9	310
AS-204	EL	NEs	F10	21
AS-204	EL	NEs	F11	24
AS-204	EL	NEs	F12	293
AS-204	EL	NEs	F13	142
AS-204	EL	NEs	F14	27
AS-204	EL	NEs	F15	538
AS-204	EL	NEs	F16	70
AS-204	EL	NEs	F17	182
AS-204	EL	NEs	F18	65
AS-204	EL	NEs	F19	350
AS-204	EL	NEs	F20	263
AS-204	EL	NEs	F21	74
AS-204	EL	NEs	F22	132
AS-204	EL	NEs	F23	102
AS-204	EL	NEs	F24	107
AS-204	EL	NEs	G1	32
AS-204	EL	NEs	G2	67
AS-204	EL	NEs	G3	123
AS-204	EL	NEs	G4	398
AS-204	EL	NEs	G5	45
AS-204	EL	NEs	G6	162
AS-204	EL	NEs	G7	42
AS-204	EL	NEs	G8	92
AS-204	EL	NEs	G9	10104
AS-204	EL	NEs	G10	16
AS-204	EL	NEs	G11	28
AS-204	EL	NEs	G12	6535
AS-204	EL	NEs	G13	112
AS-204	EL	NEs	G14	16
AS-204	EL	NEs	G15	29
AS-204	EL	NEs	G16	65
AS-204	EL	NEs	G17	176
AS-204	EL	NEs	G18	59
AS-204	EL	NEs	G19	140
AS-204	EL	NEs	G20	259
AS-204	EL	NEs	G21	61
AS-204	EL	NEs	G22	114
AS-204	EL	NEs	G23	59
AS-204	EL	NEs	G24	92
AS-204	EL	NEs	H1	69
AS-204	EL	NEs	H2	138
AS-204	EL	NEs	H3	1592
AS-204	EL	NEs	H4	323
AS-204	EL	NEs	H5	59
AS-204	EL	NEs	H6	478
AS-204	EL	NEs	H7	86
AS-204	EL	NEs	H8	1267
AS-204	EL	NEs	H9	8306
AS-204	EL	NEs	H10	25
AS-204	EL	NEs	H11	20
AS-204	EL	NEs	H12	364
