Plate	Patient	Cell_type	Well	Count
AS-206	EL	nBCs	A1	0
AS-206	EL	nBCs	A2	0
AS-206	EL	nBCs	A3	0
AS-206	EL	nBCs	A4	0
AS-206	EL	nBCs	A5	0
AS-206	EL	nBCs	A6	0
AS-206	EL	nBCs	A7	1
AS-206	EL	nBCs	A8	4
AS-206	EL	nBCs	A9	1
AS-206	EL	nBCs	A10	0
AS-206	EL	nBCs	A11	1
AS-206	EL	nBCs	A12	1
AS-206	EL	nBCs	A13	4
AS-206	EL	nBCs	A14	0
AS-206	EL	nBCs	A15	0
AS-206	EL	nBCs	A16	4
AS-206	EL	nBCs	A17	3
AS-206	EL	nBCs	A18	8
AS-206	EL	nBCs	A19	0
AS-206	EL	nBCs	A20	2
AS-206	EL	nBCs	A21	0
AS-206	EL	nBCs	A22	1
AS-206	EL	nBCs	A23	2
AS-206	EL	nBCs	A24	0
AS-206	EL	nBCs	B1	1
AS-206	EL	nBCs	B2	2
AS-206	EL	nBCs	B3	0
AS-206	EL	nBCs	B4	4
AS-206	EL	nBCs	B5	5
AS-206	EL	nBCs	B6	15
AS-206	EL	nBCs	B7	6
AS-206	EL	nBCs	B8	6
AS-206	EL	nBCs	B9	7
AS-206	EL	nBCs	B10	0
AS-206	EL	nBCs	B11	3
AS-206	EL	nBCs	B12	9
AS-206	EL	nBCs	B13	21
AS-206	EL	nBCs	B14	6
AS-206	EL	nBCs	B15	0
AS-206	EL	nBCs	B16	17
AS-206	EL	nBCs	B17	17
AS-206	EL	nBCs	B18	24
AS-206	EL	nBCs	B19	8
AS-206	EL	nBCs	B20	10
AS-206	EL	nBCs	B21	6
AS-206	EL	nBCs	B22	2
AS-206	EL	nBCs	B23	1
AS-206	EL	nBCs	B24	2
AS-206	EL	nBCs	C1	2
AS-206	EL	nBCs	C2	2
AS-206	EL	nBCs	C3	1
AS-206	EL	nBCs	C4	13
AS-206	EL	nBCs	C5	1
AS-206	EL	nBCs	C6	8
AS-206	EL	nBCs	C7	3
AS-206	EL	nBCs	C8	6
AS-206	EL	nBCs	C9	4
AS-206	EL	nBCs	C10	2
AS-206	EL	nBCs	C11	2
AS-206	EL	nBCs	C12	53
AS-206	EL	nBCs	C13	24
AS-206	EL	nBCs	C14	2
AS-206	EL	nBCs	C15	1
AS-206	EL	nBCs	C16	19
AS-206	EL	nBCs	C17	19
AS-206	EL	nBCs	C18	29
AS-206	EL	nBCs	C19	12
AS-206	EL	nBCs	C20	10
AS-206	EL	nBCs	C21	5
AS-206	EL	nBCs	C22	5
AS-206	EL	nBCs	C23	14
AS-206	EL	nBCs	C24	5
AS-206	EL	nBCs	D1	0
AS-206	EL	nBCs	D2	1
AS-206	EL	nBCs	D3	4
AS-206	EL	nBCs	D4	9
AS-206	EL	nBCs	D5	1
AS-206	EL	nBCs	D6	12
AS-206	EL	nBCs	D7	0
AS-206	EL	nBCs	D8	6
AS-206	EL	nBCs	D9	18
AS-206	EL	nBCs	D10	1
AS-206	EL	nBCs	D11	1
AS-206	EL	nBCs	D12	13
AS-206	EL	nBCs	D13	26
AS-206	EL	nBCs	D14	3
AS-206	EL	nBCs	D15	0
AS-206	EL	nBCs	D16	13
AS-206	EL	nBCs	D17	19
AS-206	EL	nBCs	D18	23
AS-206	EL	nBCs	D19	28
AS-206	EL	nBCs	D20	43
AS-206	EL	nBCs	D21	4
AS-206	EL	nBCs	D22	1
AS-206	EL	nBCs	D23	12
AS-206	EL	nBCs	D24	3
AS-206	EL	nBCs	E1	2
AS-206	EL	nBCs	E2	17
AS-206	EL	nBCs	E3	11
AS-206	EL	nBCs	E4	15
AS-206	EL	nBCs	E5	0
AS-206	EL	nBCs	E6	16
AS-206	EL	nBCs	E7	6
AS-206	EL	nBCs	E8	41
AS-206	EL	nBCs	E9	20
AS-206	EL	nBCs	E10	3
AS-206	EL	nBCs	E11	6
AS-206	EL	nBCs	E12	44
AS-206	EL	nBCs	E13	23
AS-206	EL	nBCs	E14	3
AS-206	EL	nBCs	E15	2
AS-206	EL	nBCs	E16	24
AS-206	EL	nBCs	E17	27
AS-206	EL	nBCs	E18	1021
AS-206	EL	nBCs	E19	28
AS-206	EL	nBCs	E20	49
AS-206	EL	nBCs	E21	18
AS-206	EL	nBCs	E22	31
AS-206	EL	nBCs	E23	6
AS-206	EL	nBCs	E24	10
AS-206	EL	nBCs	F1	0
AS-206	EL	nBCs	F2	2
AS-206	EL	nBCs	F3	3
AS-206	EL	nBCs	F4	15
AS-206	EL	nBCs	F5	3
AS-206	EL	nBCs	F6	14
AS-206	EL	nBCs	F7	1
AS-206	EL	nBCs	F8	20
AS-206	EL	nBCs	F9	21
AS-206	EL	nBCs	F10	2
AS-206	EL	nBCs	F11	3
AS-206	EL	nBCs	F12	10
AS-206	EL	nBCs	F13	35
AS-206	EL	nBCs	F14	6
AS-206	EL	nBCs	F15	7
AS-206	EL	nBCs	F16	19
AS-206	EL	nBCs	F17	15
AS-206	EL	nBCs	F18	16
AS-206	EL	nBCs	F19	11
AS-206	EL	nBCs	F20	24
AS-206	EL	nBCs	F21	6
AS-206	EL	nBCs	F22	6
AS-206	EL	nBCs	F23	2
AS-206	EL	nBCs	F24	5
AS-206	EL	nBCs	G1	1
AS-206	EL	nBCs	G2	4
AS-206	EL	nBCs	G3	1
AS-206	EL	nBCs	G4	2
AS-206	EL	nBCs	G5	0
AS-206	EL	nBCs	G6	7
AS-206	EL	nBCs	G7	10
AS-206	EL	nBCs	G8	18
AS-206	EL	nBCs	G9	28
AS-206	EL	nBCs	G10	1
AS-206	EL	nBCs	G11	2
AS-206	EL	nBCs	G12	17
AS-206	EL	nBCs	G13	22
AS-206	EL	nBCs	G14	5
AS-206	EL	nBCs	G15	0
AS-206	EL	nBCs	G16	10
AS-206	EL	nBCs	G17	22
AS-206	EL	nBCs	G18	9
AS-206	EL	nBCs	G19	16
AS-206	EL	nBCs	G20	4
AS-206	EL	nBCs	G21	8
AS-206	EL	nBCs	G22	6
AS-206	EL	nBCs	G23	0
AS-206	EL	nBCs	G24	3
AS-206	EL	nBCs	H1	0
AS-206	EL	nBCs	H2	5
AS-206	EL	nBCs	H3	6
AS-206	EL	nBCs	H4	9
AS-206	EL	nBCs	H5	3
AS-206	EL	nBCs	H6	11
AS-206	EL	nBCs	H7	9
AS-206	EL	nBCs	H8	31
AS-206	EL	nBCs	H9	30
AS-206	EL	nBCs	H10	1
AS-206	EL	nBCs	H11	2
AS-206	EL	nBCs	H12	31
AS-206	EL	nBCs	H13	13
AS-206	EL	nBCs	H14	4
AS-206	EL	nBCs	H15	0
AS-206	EL	nBCs	H16	11
AS-206	EL	nBCs	H17	30
AS-206	EL	nBCs	H18	20
AS-206	EL	nBCs	H19	9
AS-206	EL	nBCs	H20	26
AS-206	EL	nBCs	H21	2
AS-206	EL	nBCs	H22	2
AS-206	EL	nBCs	H23	7
AS-206	EL	nBCs	H24	5
AS-206	EL	nBCs	I1	1
AS-206	EL	nBCs	I2	8
AS-206	EL	nBCs	I3	2
AS-206	EL	nBCs	I4	20
AS-206	EL	nBCs	I5	1
AS-206	EL	nBCs	I6	15
AS-206	EL	nBCs	I7	5
AS-206	EL	nBCs	I8	15
AS-206	EL	nBCs	I9	15
AS-206	EL	nBCs	I10	2
AS-206	EL	nBCs	I11	3
AS-206	EL	nBCs	I12	10
AS-206	EL	nBCs	I13	35
AS-206	EL	nBCs	I14	3
AS-206	EL	nBCs	I15	1
AS-206	EL	nBCs	I16	15
AS-206	EL	nBCs	I17	37
AS-206	EL	nBCs	I18	30
AS-206	EL	nBCs	I19	11
AS-206	EL	nBCs	I20	21
AS-206	EL	nBCs	I21	3
AS-206	EL	nBCs	I22	20
AS-206	EL	nBCs	I23	14
AS-206	EL	nBCs	I24	3
AS-206	EL	nBCs	J1	0
AS-206	EL	nBCs	J2	12
AS-206	EL	nBCs	J3	3
AS-206	EL	nBCs	J4	7
AS-206	EL	nBCs	J5	3
AS-206	EL	nBCs	J6	11
AS-206	EL	nBCs	J7	8
AS-206	EL	nBCs	J8	30
AS-206	EL	nBCs	J9	8
AS-206	EL	nBCs	J10	1
AS-206	EL	nBCs	J11	1
AS-206	EL	nBCs	J12	13
AS-206	EL	nBCs	J13	7
AS-206	EL	nBCs	J14	2
AS-206	EL	nBCs	J15	0
AS-206	EL	nBCs	J16	11
AS-206	EL	nBCs	J17	13
AS-206	EL	nBCs	J18	30
AS-206	EL	nBCs	J19	13
AS-206	EL	nBCs	J20	18
AS-206	EL	nBCs	J21	6
AS-206	EL	nBCs	J22	4
AS-206	EL	nBCs	J23	14
AS-206	EL	nBCs	J24	5
AS-206	EL	nBCs	K1	0
AS-206	EL	nBCs	K2	6
AS-206	EL	nBCs	K3	0
AS-206	EL	nBCs	K4	7
AS-206	EL	nBCs	K5	4
AS-206	EL	nBCs	K6	3
AS-206	EL	nBCs	K7	6
AS-206	EL	nBCs	K8	13
AS-206	EL	nBCs	K9	24
AS-206	EL	nBCs	K10	0
