Plate	Patient	Cell_type	Well	Count
AS-202	EL	Monocytes	A1	2
AS-202	EL	Monocytes	A2	44
AS-202	EL	Monocytes	A3	10
AS-202	EL	Monocytes	A4	27
AS-202	EL	Monocytes	A5	25
AS-202	EL	Monocytes	A6	47
AS-202	EL	Monocytes	A7	27
AS-202	EL	Monocytes	A8	80
AS-202	EL	Monocytes	A9	45
AS-202	EL	Monocytes	A10	2
AS-202	EL	Monocytes	A11	22
AS-202	EL	Monocytes	A12	89
AS-202	EL	Monocytes	A13	99
AS-202	EL	Monocytes	A14	5
AS-202	EL	Monocytes	A15	3
AS-202	EL	Monocytes	A16	38
AS-202	EL	Monocytes	A17	33
AS-202	EL	Monocytes	A18	23
AS-202	EL	Monocytes	A19	206
AS-202	EL	Monocytes	A20	67
AS-202	EL	Monocytes	A21	14
AS-202	EL	Monocytes	A22	61
AS-202	EL	Monocytes	A23	9
AS-202	EL	Monocytes	A24	36
AS-202	EL	Monocytes	B1	23
AS-202	EL	Monocytes	B2	107
AS-202	EL	Monocytes	B3	49
AS-202	EL	Monocytes	B4	56
AS-202	EL	Monocytes	B5	60
AS-202	EL	Monocytes	B6	136
AS-202	EL	Monocytes	B7	184
AS-202	EL	Monocytes	B8	171
AS-202	EL	Monocytes	B9	189
AS-202	EL	Monocytes	B10	17
AS-202	EL	Monocytes	B11	59
AS-202	EL	Monocytes	B12	201
AS-202	EL	Monocytes	B13	251
AS-202	EL	Monocytes	B14	26
AS-202	EL	Monocytes	B15	9
AS-202	EL	Monocytes	B16	97
AS-202	EL	Monocytes	B17	105
AS-202	EL	Monocytes	B18	3472
AS-202	EL	Monocytes	B19	173
AS-202	EL	Monocytes	B20	3073
AS-202	EL	Monocytes	B21	33
AS-202	EL	Monocytes	B22	170
AS-202	EL	Monocytes	B23	43
AS-202	EL	Monocytes	B24	53
AS-202	EL	Monocytes	C1	38
AS-202	EL	Monocytes	C2	226
AS-202	EL	Monocytes	C3	99
AS-202	EL	Monocytes	C4	199
AS-202	EL	Monocytes	C5	39
AS-202	EL	Monocytes	C6	277
AS-202	EL	Monocytes	C7	104
AS-202	EL	Monocytes	C8	469
AS-202	EL	Monocytes	C9	387
AS-202	EL	Monocytes	C10	132
AS-202	EL	Monocytes	C11	303
AS-202	EL	Monocytes	C12	549
AS-202	EL	Monocytes	C13	9238
AS-202	EL	Monocytes	C14	229
AS-202	EL	Monocytes	C15	12
AS-202	EL	Monocytes	C16	639
AS-202	EL	Monocytes	C17	2285
AS-202	EL	Monocytes	C18	3509
AS-202	EL	Monocytes	C19	262
AS-202	EL	Monocytes	C20	369
AS-202	EL	Monocytes	C21	56
AS-202	EL	Monocytes	C22	247
AS-202	EL	Monocytes	C23	119
AS-202	EL	Monocytes	C24	124
AS-202	EL	Monocytes	D1	27
AS-202	EL	Monocytes	D2	199
AS-202	EL	Monocytes	D3	208
AS-202	EL	Monocytes	D4	129
AS-202	EL	Monocytes	D5	144
AS-202	EL	Monocytes	D6	317
AS-202	EL	Monocytes	D7	92
AS-202	EL	Monocytes	D8	2124
AS-202	EL	Monocytes	D9	1133
AS-202	EL	Monocytes	D10	13
AS-202	EL	Monocytes	D11	128
AS-202	EL	Monocytes	D12	256
AS-202	EL	Monocytes	D13	4363
AS-202	EL	Monocytes	D14	556
AS-202	EL	Monocytes	D15	4
AS-202	EL	Monocytes	D16	318
AS-202	EL	Monocytes	D17	231
AS-202	EL	Monocytes	D18	109
AS-202	EL	Monocytes	D19	7125
AS-202	EL	Monocytes	D20	285
AS-202	EL	Monocytes	D21	41
AS-202	EL	Monocytes	D22	126
AS-202	EL	Monocytes	D23	98
AS-202	EL	Monocytes	D24	115
AS-202	EL	Monocytes	E1	63
AS-202	EL	Monocytes	E2	1055
AS-202	EL	Monocytes	E3	148
AS-202	EL	Monocytes	E4	581
AS-202	EL	Monocytes	E5	316
AS-202	EL	Monocytes	E6	393
AS-202	EL	Monocytes	E7	224
AS-202	EL	Monocytes	E8	4043
AS-202	EL	Monocytes	E9	3745
AS-202	EL	Monocytes	E10	232
AS-202	EL	Monocytes	E11	227
AS-202	EL	Monocytes	E12	4471
AS-202	EL	Monocytes	E13	4030
AS-202	EL	Monocytes	E14	64
AS-202	EL	Monocytes	E15	14
AS-202	EL	Monocytes	E16	1782
AS-202	EL	Monocytes	E17	331
AS-202	EL	Monocytes	E18	836
AS-202	EL	Monocytes	E19	2442
AS-202	EL	Monocytes	E20	1571
AS-202	EL	Monocytes	E21	97
AS-202	EL	Monocytes	E22	842
AS-202	EL	Monocytes	E23	160
AS-202	EL	Monocytes	E24	210
AS-202	EL	Monocytes	F1	53
AS-202	EL	Monocytes	F2	1167
AS-202	EL	Monocytes	F3	128
AS-202	EL	Monocytes	F4	2227
AS-202	EL	Monocytes	F5	199
AS-202	EL	Monocytes	F6	663
AS-202	EL	Monocytes	F7	181
AS-202	EL	Monocytes	F8	535
AS-202	EL	Monocytes	F9	1079
AS-202	EL	Monocytes	F10	190
AS-202	EL	Monocytes	F11	1771
AS-202	EL	Monocytes	F12	496
AS-202	EL	Monocytes	F13	7050
AS-202	EL	Monocytes	F14	365
AS-202	EL	Monocytes	F15	418
AS-202	EL	Monocytes	F16	261
AS-202	EL	Monocytes	F17	296
AS-202	EL	Monocytes	F18	156
AS-202	EL	Monocytes	F19	1466
AS-202	EL	Monocytes	F20	359
AS-202	EL	Monocytes	F21	83
AS-202	EL	Monocytes	F22	3176
AS-202	EL	Monocytes	F23	159
AS-202	EL	Monocytes	F24	197
AS-202	EL	Monocytes	G1	28
AS-202	EL	Monocytes	G2	226
AS-202	EL	Monocytes	G3	178
AS-202	EL	Monocytes	G4	230
AS-202	EL	Monocytes	G5	224
AS-202	EL	Monocytes	G6	240
AS-202	EL	Monocytes	G7	1331
AS-202	EL	Monocytes	G8	2824
AS-202	EL	Monocytes	G9	4447
AS-202	EL	Monocytes	G10	225
AS-202	EL	Monocytes	G11	1605
AS-202	EL	Monocytes	G12	1772
AS-202	EL	Monocytes	G13	598
AS-202	EL	Monocytes	G14	61
AS-202	EL	Monocytes	G15	103
AS-202	EL	Monocytes	G16	1602
AS-202	EL	Monocytes	G17	261
AS-202	EL	Monocytes	G18	152
AS-202	EL	Monocytes	G19	463
AS-202	EL	Monocytes	G20	1055
AS-202	EL	Monocytes	G21	60
AS-202	EL	Monocytes	G22	373
AS-202	EL	Monocytes	G23	102
AS-202	EL	Monocytes	G24	161
AS-202	EL	Monocytes	H1	50
AS-202	EL	Monocytes	H2	643
AS-202	EL	Monocytes	H3	102
AS-202	EL	Monocytes	H4	990
AS-202	EL	Monocytes	H5	1060
AS-202	EL	Monocytes	H6	7220
AS-202	EL	Monocytes	H7	466
AS-202	EL	Monocytes	H8	4653
AS-202	EL	Monocytes	H9	3904
AS-202	EL	Monocytes	H10	46
AS-202	EL	Monocytes	H11	396
AS-202	EL	Monocytes	H12	6433
AS-202	EL	Monocytes	H13	3941
AS-202	EL	Monocytes	H14	130
AS-202	EL	Monocytes	H15	34
AS-202	EL	Monocytes	H16	508
AS-202	EL	Monocytes	H17	3600
AS-202	EL	Monocytes	H18	342
AS-202	EL	Monocytes	H19	386
AS-202	EL	Monocytes	H20	599
AS-202	EL	Monocytes	H21	92
AS-202	EL	Monocytes	H22	355
AS-202	EL	Monocytes	H23	203
AS-202	EL	Monocytes	H24	242
AS-202	EL	Monocytes	I1	16
AS-202	EL	Monocytes	I2	236
AS-202	EL	Monocytes	I3	1654
AS-202	EL	Monocytes	I4	219
AS-202	EL	Monocytes	I5	92
AS-202	EL	Monocytes	I6	288
AS-202	EL	Monocytes	I7	487
AS-202	EL	Monocytes	I8	3704
AS-202	EL	Monocytes	I9	337
AS-202	EL	Monocytes	I10	16
AS-202	EL	Monocytes	I11	178
AS-202	EL	Monocytes	I12	425
AS-202	EL	Monocytes	I13	841
AS-202	EL	Monocytes	I14	44
AS-202	EL	Monocytes	I15	53
AS-202	EL	Monocytes	I16	3181
AS-202	EL	Monocytes	I17	4885
AS-202	EL	Monocytes	I18	311
AS-202	EL	Monocytes	I19	1014
AS-202	EL	Monocytes	I20	990
AS-202	EL	Monocytes	I21	84
AS-202	EL	Monocytes	I22	311
AS-202	EL	Monocytes	I23	103
AS-202	EL	Monocytes	I24	162
AS-202	EL	Monocytes	J1	31
AS-202	EL	Monocytes	J2	2908
AS-202	EL	Monocytes	J3	41
AS-202	EL	Monocytes	J4	1531
AS-202	EL	Monocytes	J5	75
AS-202	EL	Monocytes	J6	1253
AS-202	EL	Monocytes	J7	163
AS-202	EL	Monocytes	J8	3963
AS-202	EL	Monocytes	J9	826
AS-202	EL	Monocytes	J10	170
AS-202	EL	Monocytes	J11	72
AS-202	EL	Monocytes	J12	2687
AS-202	EL	Monocytes	J13	386
AS-202	EL	Monocytes	J14	22
AS-202	EL	Monocytes	J15	12
AS-202	EL	Monocytes	J16	155
AS-202	EL	Monocytes	J17	189
AS-202	EL	Monocytes	J18	163
AS-202	EL	Monocytes	J19	176
AS-202	EL	Monocytes	J20	261
AS-202	EL	Monocytes	J21	35
AS-202	EL	Monocytes	J22	1015
AS-202	EL	Monocytes	J23	59
AS-202	EL	Monocytes	J24	107
AS-202	EL	Monocytes	K1	25
AS-202	EL	Monocytes	K2	152
AS-202	EL	Monocytes	K3	50
AS-202	EL	Monocytes	K4	136
AS-202	EL	Monocytes	K5	2131
AS-202	EL	Monocytes	K6	187
AS-202	EL	Monocytes	K7	729
AS-202	EL	Monocytes	K8	488
AS-202	EL	Monocytes	K9	192
AS-202	EL	Monocytes	K10	25
AS-202	EL	Monocytes	K11	86
AS-202	EL	Monocytes	K12	556
AS-202	EL	Monocytes	K13	2119
AS-202	EL	Monocytes	K14	365
AS-202	EL	Monocytes	K15	107
AS-202	EL	Monocytes	K16	131
AS-202	EL	Monocytes	K17	157
AS-202	EL	Monocytes	K18	109
AS-202	EL	Monocytes	K19	175
AS-202	EL	Monocytes	K20	189
AS-202	EL	Monocytes	K21	65
AS-202	EL	Monocytes	K22	198
AS-202	EL	Monocytes	K23	84
AS-202	EL	Monocytes	K24	85
AS-202	EL	Monocytes	L1	30
AS-202	EL	Monocytes	L2	1414
AS-202	EL	Monocytes	L3	1113
AS-202	EL	Monocytes	L4	392
AS-202	EL	Monocytes	L5	82
AS-202	EL	Monocytes	L6	2151
AS-202	EL	Monocytes	L7	901
AS-202	EL	Monocytes	L8	648
AS-202	EL	Monocytes	L9	227
AS-202	EL	Monocytes	L10	184
AS-202	EL	Monocytes	L11	34
AS-202	EL	Monocytes	L12	4958
AS-202	EL	Monocytes	L13	2508
AS-202	EL	Monocytes	L14	36
AS-202	EL	Monocytes	L15	16
AS-202	EL	Monocytes	L16	895
AS-202	EL	Monocytes	L17	177
AS-202	EL	Monocytes	L18	164
AS-202	EL	Monocytes	L19	177
AS-202	EL	Monocytes	L20	247
AS-202	EL	Monocytes	L21	46
AS-202	EL	Monocytes	L22	360
AS-202	EL	Monocytes	L23	107
AS-202	EL	Monocytes	L24	99
AS-202	EL	Monocytes	M1	20
AS-202	EL	Monocytes	M2	106
AS-202	EL	Monocytes	M3	43
AS-202	EL	Monocytes	M4	1248
AS-202	EL	Monocytes	M5	65
AS-202	EL	Monocytes	M6	1785
AS-202	EL	Monocytes	M7	640
AS-202	EL	Monocytes	M8	207
AS-202	EL	Monocytes	M9	165
AS-202	EL	Monocytes	M10	6
AS-202	EL	Monocytes	M11	515
AS-202	EL	Monocytes	M12	192
AS-202	EL	Monocytes	M13	293
AS-202	EL	Monocytes	M14	24
AS-202	EL	Monocytes	M15	13
AS-202	EL	Monocytes	M16	101
AS-202	EL	Monocytes	M17	108
AS-202	EL	Monocytes	M18	76
AS-202	EL	Monocytes	M19	127
AS-202	EL	Monocytes	M20	456
AS-202	EL	Monocytes	M21	38
AS-202	EL	Monocytes	M22	162
AS-202	EL	Monocytes	M23	58
AS-202	EL	Monocytes	M24	52
AS-202	EL	Monocytes	N1	15
AS-202	EL	Monocytes	N2	2633
AS-202	EL	Monocytes	N3	51
AS-202	EL	Monocytes	N4	126
AS-202	EL	Monocytes	N5	688
AS-202	EL	Monocytes	N6	155
AS-202	EL	Monocytes	N7	993
AS-202	EL	Monocytes	N8	193
AS-202	EL	Monocytes	N9	144
AS-202	EL	Monocytes	N10	23
AS-202	EL	Monocytes	N11	48
AS-202	EL	Monocytes	N12	929
AS-202	EL	Monocytes	N13	275
AS-202	EL	Monocytes	N14	14
AS-202	EL	Monocytes	N15	10
AS-202	EL	Monocytes	N16	74
AS-202	EL	Monocytes	N17	153
AS-202	EL	Monocytes	N18	92
AS-202	EL	Monocytes	N19	426
AS-202	EL	Monocytes	N20	407
AS-202	EL	Monocytes	N21	43
AS-202	EL	Monocytes	N22	132
AS-202	EL	Monocytes	N23	42
AS-202	EL	Monocytes	N24	97
AS-202	EL	Monocytes	O1	4
AS-202	EL	Monocytes	O2	168
AS-202	EL	Monocytes	O3	23
AS-202	EL	Monocytes	O4	77
AS-202	EL	Monocytes	O5	139
AS-202	EL	Monocytes	O6	86
AS-202	EL	Monocytes	O7	41
AS-202	EL	Monocytes	O8	325
AS-202	EL	Monocytes	O9	63
AS-202	EL	Monocytes	O10	5
AS-202	EL	Monocytes	O11	18
AS-202	EL	Monocytes	O12	104
AS-202	EL	Monocytes	O13	187
AS-202	EL	Monocytes	O14	10
AS-202	EL	Monocytes	O15	5
AS-202	EL	Monocytes	O16	52
AS-202	EL	Monocytes	O17	43
AS-202	EL	Monocytes	O18	30
AS-202	EL	Monocytes	O19	29
AS-202	EL	Monocytes	O20	73
AS-202	EL	Monocytes	O21	13
AS-202	EL	Monocytes	O22	73
AS-202	EL	Monocytes	O23	112
AS-202	EL	Monocytes	O24	22
AS-202	EL	Monocytes	P1	32
AS-202	EL	Monocytes	P2	204
AS-202	EL	Monocytes	P3	46
AS-202	EL	Monocytes	P4	143
AS-202	EL	Monocytes	P5	98
AS-202	EL	Monocytes	P6	252
AS-202	EL	Monocytes	P7	100
AS-202	EL	Monocytes	P8	420
AS-202	EL	Monocytes	P9	272
AS-202	EL	Monocytes	P10	25
AS-202	EL	Monocytes	P11	24
AS-202	EL	Monocytes	P12	423
AS-202	EL	Monocytes	P13	418
AS-202	EL	Monocytes	P14	20
AS-202	EL	Monocytes	P15	16
AS-202	EL	Monocytes	P16	164
AS-202	EL	Monocytes	P17	188
AS-202	EL	Monocytes	P18	155
AS-202	EL	Monocytes	P19	234
AS-202	EL	Monocytes	P20	10358
AS-202	EL	Monocytes	P21	1754
AS-202	EL	Monocytes	P22	4960
AS-202	EL	Monocytes	P23	1873
AS-202	EL	Monocytes	P24	3549
