Plate	Patient	Cell_type	Well	Count
AS-187	RN	Monocytes	A1	247
AS-187	RN	Monocytes	A2	18968
AS-187	RN	Monocytes	A3	132
AS-187	RN	Monocytes	A4	14069
AS-187	RN	Monocytes	A5	19
AS-187	RN	Monocytes	A6	16583
AS-187	RN	Monocytes	A7	77
AS-187	RN	Monocytes	A8	373
AS-187	RN	Monocytes	A9	153
AS-187	RN	Monocytes	A10	7
AS-187	RN	Monocytes	A11	396
AS-187	RN	Monocytes	A12	187
AS-187	RN	Monocytes	A13	209
AS-187	RN	Monocytes	A14	15
AS-187	RN	Monocytes	A15	5
AS-187	RN	Monocytes	A16	179
AS-187	RN	Monocytes	A17	169
AS-187	RN	Monocytes	A18	210
AS-187	RN	Monocytes	A19	254
AS-187	RN	Monocytes	A20	192
AS-187	RN	Monocytes	A21	58
AS-187	RN	Monocytes	A22	423
AS-187	RN	Monocytes	A23	202
AS-187	RN	Monocytes	A24	346
AS-187	RN	Monocytes	B1	97
AS-187	RN	Monocytes	B2	239
AS-187	RN	Monocytes	B3	67
AS-187	RN	Monocytes	B4	1533
AS-187	RN	Monocytes	B5	13
AS-187	RN	Monocytes	B6	222
AS-187	RN	Monocytes	B7	55
AS-187	RN	Monocytes	B8	330
AS-187	RN	Monocytes	B9	297
AS-187	RN	Monocytes	B10	11
AS-187	RN	Monocytes	B11	21
AS-187	RN	Monocytes	B12	465
AS-187	RN	Monocytes	B13	354
AS-187	RN	Monocytes	B14	11
AS-187	RN	Monocytes	B15	7
AS-187	RN	Monocytes	B16	186
AS-187	RN	Monocytes	B17	282
AS-187	RN	Monocytes	B18	362
AS-187	RN	Monocytes	B19	201
AS-187	RN	Monocytes	B20	288
AS-187	RN	Monocytes	B21	112
AS-187	RN	Monocytes	B22	483
AS-187	RN	Monocytes	B23	109
AS-187	RN	Monocytes	B24	166
AS-187	RN	Monocytes	C1	189
AS-187	RN	Monocytes	C2	468
AS-187	RN	Monocytes	C3	96
AS-187	RN	Monocytes	C4	191
AS-187	RN	Monocytes	C5	19
AS-187	RN	Monocytes	C6	246
AS-187	RN	Monocytes	C7	45
AS-187	RN	Monocytes	C8	347
AS-187	RN	Monocytes	C9	239
AS-187	RN	Monocytes	C10	7
AS-187	RN	Monocytes	C11	459
AS-187	RN	Monocytes	C12	1502
AS-187	RN	Monocytes	C13	407
AS-187	RN	Monocytes	C14	14
AS-187	RN	Monocytes	C15	8
AS-187	RN	Monocytes	C16	432
AS-187	RN	Monocytes	C17	276
AS-187	RN	Monocytes	C18	536
AS-187	RN	Monocytes	C19	3379
AS-187	RN	Monocytes	C20	384
AS-187	RN	Monocytes	C21	133
AS-187	RN	Monocytes	C22	546
AS-187	RN	Monocytes	C23	144
AS-187	RN	Monocytes	C24	181
AS-187	RN	Monocytes	D1	131
AS-187	RN	Monocytes	D2	1378
AS-187	RN	Monocytes	D3	163
AS-187	RN	Monocytes	D4	292
AS-187	RN	Monocytes	D5	14
