Plate	Patient	Cell_type	Well	Count
AS-203	EL	NEs	A1	11
AS-203	EL	NEs	A2	11
AS-203	EL	NEs	A3	43
AS-203	EL	NEs	A4	92
AS-203	EL	NEs	A5	66
AS-203	EL	NEs	A6	58
AS-203	EL	NEs	A7	21
AS-203	EL	NEs	A8	120
AS-203	EL	NEs	A9	235
AS-203	EL	NEs	A10	31
AS-203	EL	NEs	A11	1345
AS-203	EL	NEs	A12	125
AS-203	EL	NEs	A13	155
AS-203	EL	NEs	A14	26
AS-203	EL	NEs	A15	3
AS-203	EL	NEs	A16	61
AS-203	EL	NEs	A17	259
AS-203	EL	NEs	A18	34
AS-203	EL	NEs	A19	58
AS-203	EL	NEs	A20	19
AS-203	EL	NEs	A21	11
AS-203	EL	NEs	A22	20
AS-203	EL	NEs	A23	84
AS-203	EL	NEs	A24	49
AS-203	EL	NEs	B1	36
AS-203	EL	NEs	B2	57
AS-203	EL	NEs	B3	44
AS-203	EL	NEs	B4	148
AS-203	EL	NEs	B5	12409
AS-203	EL	NEs	B6	93
AS-203	EL	NEs	B7	58
AS-203	EL	NEs	B8	242
AS-203	EL	NEs	B9	269
AS-203	EL	NEs	B10	19
AS-203	EL	NEs	B11	24
AS-203	EL	NEs	B12	915
AS-203	EL	NEs	B13	353
AS-203	EL	NEs	B14	81
AS-203	EL	NEs	B15	11
AS-203	EL	NEs	B16	104
AS-203	EL	NEs	B17	335
AS-203	EL	NEs	B18	71
AS-203	EL	NEs	B19	122
AS-203	EL	NEs	B20	164
AS-203	EL	NEs	B21	32
AS-203	EL	NEs	B22	45
AS-203	EL	NEs	B23	32
AS-203	EL	NEs	B24	100
AS-203	EL	NEs	C1	59
AS-203	EL	NEs	C2	107
AS-203	EL	NEs	C3	66
AS-203	EL	NEs	C4	236
AS-203	EL	NEs	C5	114
AS-203	EL	NEs	C6	535
AS-203	EL	NEs	C7	41
AS-203	EL	NEs	C8	392
AS-203	EL	NEs	C9	371
AS-203	EL	NEs	C10	1274
AS-203	EL	NEs	C11	201
AS-203	EL	NEs	C12	338
AS-203	EL	NEs	C13	4450
AS-203	EL	NEs	C14	2768
AS-203	EL	NEs	C15	11
AS-203	EL	NEs	C16	2502
AS-203	EL	NEs	C17	577
AS-203	EL	NEs	C18	152
AS-203	EL	NEs	C19	174
AS-203	EL	NEs	C20	195
AS-203	EL	NEs	C21	51
AS-203	EL	NEs	C22	114
AS-203	EL	NEs	C23	95
AS-203	EL	NEs	C24	123
AS-203	EL	NEs	D1	37
AS-203	EL	NEs	D2	93
AS-203	EL	NEs	D3	524
AS-203	EL	NEs	D4	504
AS-203	EL	NEs	D5	1181
AS-203	EL	NEs	D6	130
AS-203	EL	NEs	D7	40
AS-203	EL	NEs	D8	294
AS-203	EL	NEs	D9	12610
AS-203	EL	NEs	D10	51
AS-203	EL	NEs	D11	22
AS-203	EL	NEs	D12	2916
AS-203	EL	NEs	D13	7288
AS-203	EL	NEs	D14	67
AS-203	EL	NEs	D15	10
AS-203	EL	NEs	D16	116
AS-203	EL	NEs	D17	397
AS-203	EL	NEs	D18	67
AS-203	EL	NEs	D19	157
AS-203	EL	NEs	D20	132
AS-203	EL	NEs	D21	53
AS-203	EL	NEs	D22	52
AS-203	EL	NEs	D23	54
AS-203	EL	NEs	D24	86
AS-203	EL	NEs	E1	38
AS-203	EL	NEs	E2	183
AS-203	EL	NEs	E3	77
AS-203	EL	NEs	E4	174
AS-203	EL	NEs	E5	51
AS-203	EL	NEs	E6	231
AS-203	EL	NEs	E7	394
AS-203	EL	NEs	E8	19240
AS-203	EL	NEs	E9	333
AS-203	EL	NEs	E10	1027
AS-203	EL	NEs	E11	37
AS-203	EL	NEs	E12	197
AS-203	EL	NEs	E13	271
AS-203	EL	NEs	E14	74
AS-203	EL	NEs	E15	16
AS-203	EL	NEs	E16	130
AS-203	EL	NEs	E17	350
AS-203	EL	NEs	E18	99
AS-203	EL	NEs	E19	130
AS-203	EL	NEs	E20	158
AS-203	EL	NEs	E21	61
AS-203	EL	NEs	E22	100
AS-203	EL	NEs	E23	57
AS-203	EL	NEs	E24	250
AS-203	EL	NEs	F1	77
AS-203	EL	NEs	F2	136
AS-203	EL	NEs	F3	119
AS-203	EL	NEs	F4	4300
AS-203	EL	NEs	F5	168
AS-203	EL	NEs	F6	164
AS-203	EL	NEs	F7	90
AS-203	EL	NEs	F8	4921
AS-203	EL	NEs	F9	12590
AS-203	EL	NEs	F10	1098
AS-203	EL	NEs	F11	99
AS-203	EL	NEs	F12	203
AS-203	EL	NEs	F13	17641
AS-203	EL	NEs	F14	67
AS-203	EL	NEs	F15	28
AS-203	EL	NEs	F16	400
AS-203	EL	NEs	F17	1682
AS-203	EL	NEs	F18	909
AS-203	EL	NEs	F19	2341
AS-203	EL	NEs	F20	167
AS-203	EL	NEs	F21	62
AS-203	EL	NEs	F22	207
AS-203	EL	NEs	F23	124
AS-203	EL	NEs	F24	2670
AS-203	EL	NEs	G1	19
AS-203	EL	NEs	G2	28
AS-203	EL	NEs	G3	53
AS-203	EL	NEs	G4	112
AS-203	EL	NEs	G5	55
AS-203	EL	NEs	G6	60
AS-203	EL	NEs	G7	38
AS-203	EL	NEs	G8	141
AS-203	EL	NEs	G9	240
AS-203	EL	NEs	G10	74
AS-203	EL	NEs	G11	18
AS-203	EL	NEs	G12	91
AS-203	EL	NEs	G13	220
AS-203	EL	NEs	G14	37
AS-203	EL	NEs	G15	30
AS-203	EL	NEs	G16	65
AS-203	EL	NEs	G17	6754
AS-203	EL	NEs	G18	32
AS-203	EL	NEs	G19	92
AS-203	EL	NEs	G20	366
AS-203	EL	NEs	G21	19
AS-203	EL	NEs	G22	46
AS-203	EL	NEs	G23	20
AS-203	EL	NEs	G24	32
AS-203	EL	NEs	H1	55
AS-203	EL	NEs	H2	83
AS-203	EL	NEs	H3	1071
AS-203	EL	NEs	H4	196
AS-203	EL	NEs	H5	117
AS-203	EL	NEs	H6	162
AS-203	EL	NEs	H7	56
AS-203	EL	NEs	H8	353
AS-203	EL	NEs	H9	2260
AS-203	EL	NEs	H10	974
AS-203	EL	NEs	H11	27
AS-203	EL	NEs	H12	144
AS-203	EL	NEs	H13	428
AS-203	EL	NEs	H14	75
AS-203	EL	NEs	H15	80
AS-203	EL	NEs	H16	120
AS-203	EL	NEs	H17	13393
AS-203	EL	NEs	H18	99
AS-203	EL	NEs	H19	144
AS-203	EL	NEs	H20	200
AS-203	EL	NEs	H21	58
