Plate	Patient	Cell_type	Amplicon	Genotype	Well	Count
AS-198	RN	CD34	RN_RUNX1_c	MT	A1	1
AS-198	RN	CD34	RN_RUNX1_c	MT	A2	0
AS-198	RN	CD34	RN_RUNX1_c	MT	A3	3
AS-198	RN	CD34	RN_RUNX1_c	MT	A4	8
AS-198	RN	CD34	RN_RUNX1_c	MT	A5	0
AS-198	RN	CD34	RN_RUNX1_c	MT	A6	0
AS-198	RN	CD34	RN_RUNX1_c	MT	A7	2
AS-198	RN	CD34	RN_RUNX1_c	MT	A8	15
AS-198	RN	CD34	RN_RUNX1_c	MT	A9	4
AS-198	RN	CD34	RN_RUNX1_c	MT	A10	1
AS-198	RN	CD34	RN_RUNX1_c	MT	A11	0
AS-198	RN	CD34	RN_RUNX1_c	MT	A12	5
AS-198	RN	CD34	RN_RUNX1_c	MT	A13	11
AS-198	RN	CD34	RN_RUNX1_c	MT	A14	0
AS-198	RN	CD34	RN_RUNX1_c	MT	A15	0
AS-198	RN	CD34	RN_RUNX1_c	MT	A16	0
AS-198	RN	CD34	RN_RUNX1_c	MT	A17	4
AS-198	RN	CD34	RN_RUNX1_c	MT	A18	6
AS-198	RN	CD34	RN_RUNX1_c	MT	A19	2
AS-198	RN	CD34	RN_RUNX1_c	MT	A20	14
AS-198	RN	CD34	RN_RUNX1_c	MT	A21	0
AS-198	RN	CD34	RN_RUNX1_c	MT	A22	6
AS-198	RN	CD34	RN_RUNX1_c	MT	A23	1
AS-198	RN	CD34	RN_RUNX1_c	MT	A24	2
AS-198	RN	CD34	RN_RUNX1_c	MT	B1	23
AS-198	RN	CD34	RN_RUNX1_c	MT	B2	9
AS-198	RN	CD34	RN_RUNX1_c	MT	B3	23
AS-198	RN	CD34	RN_RUNX1_c	MT	B4	50
AS-198	RN	CD34	RN_RUNX1_c	MT	B5	9
AS-198	RN	CD34	RN_RUNX1_c	MT	B6	18
AS-198	RN	CD34	RN_RUNX1_c	MT	B7	15
AS-198	RN	CD34	RN_RUNX1_c	MT	B8	122
AS-198	RN	CD34	RN_RUNX1_c	MT	B9	33
AS-198	RN	CD34	RN_RUNX1_c	MT	B10	3
AS-198	RN	CD34	RN_RUNX1_c	MT	B11	0
AS-198	RN	CD34	RN_RUNX1_c	MT	B12	31
AS-198	RN	CD34	RN_RUNX1_c	MT	B13	54
AS-198	RN	CD34	RN_RUNX1_c	MT	B14	0
AS-198	RN	CD34	RN_RUNX1_c	MT	B15	0
AS-198	RN	CD34	RN_RUNX1_c	MT	B16	14
AS-198	RN	CD34	RN_RUNX1_c	MT	B17	14
AS-198	RN	CD34	RN_RUNX1_c	MT	B18	85
AS-198	RN	CD34	RN_RUNX1_c	MT	B19	13
AS-198	RN	CD34	RN_RUNX1_c	MT	B20	103
AS-198	RN	CD34	RN_RUNX1_c	MT	B21	7
AS-198	RN	CD34	RN_RUNX1_c	MT	B22	53
AS-198	RN	CD34	RN_RUNX1_c	MT	B23	2
AS-198	RN	CD34	RN_RUNX1_c	MT	B24	3
AS-198	RN	CD34	RN_RUNX1_c	MT	C1	16
