Plate	Patient	Cell_type	Amplicon	Well	Count
AS-189	RN	NEs	RN_RUNX1_c	A1	0
AS-189	RN	NEs	RN_RUNX1_c	A2	0
AS-189	RN	NEs	RN_RUNX1_c	A3	3
AS-189	RN	NEs	RN_RUNX1_c	A4	1
AS-189	RN	NEs	RN_RUNX1_c	A5	0
AS-189	RN	NEs	RN_RUNX1_c	A6	0
AS-189	RN	NEs	RN_RUNX1_c	A7	0
AS-189	RN	NEs	RN_RUNX1_c	A8	0
AS-189	RN	NEs	RN_RUNX1_c	A9	0
AS-189	RN	NEs	RN_RUNX1_c	A10	0
AS-189	RN	NEs	RN_RUNX1_c	A11	1
AS-189	RN	NEs	RN_RUNX1_c	A12	1
AS-189	RN	NEs	RN_RUNX1_c	A13	3
AS-189	RN	NEs	RN_RUNX1_c	A14	0
AS-189	RN	NEs	RN_RUNX1_c	A15	0
AS-189	RN	NEs	RN_RUNX1_c	A16	1
AS-189	RN	NEs	RN_RUNX1_c	A17	8
AS-189	RN	NEs	RN_RUNX1_c	A18	0
AS-189	RN	NEs	RN_RUNX1_c	A19	0
AS-189	RN	NEs	RN_RUNX1_c	A20	5
AS-189	RN	NEs	RN_RUNX1_c	A21	3
AS-189	RN	NEs	RN_RUNX1_c	A22	1
AS-189	RN	NEs	RN_RUNX1_c	A23	1
AS-189	RN	NEs	RN_RUNX1_c	A24	0
AS-189	RN	NEs	RN_RUNX1_c	B1	1
AS-189	RN	NEs	RN_RUNX1_c	B2	4
AS-189	RN	NEs	RN_RUNX1_c	B3	0
AS-189	RN	NEs	RN_RUNX1_c	B4	4
AS-189	RN	NEs	RN_RUNX1_c	B5	0
AS-189	RN	NEs	RN_RUNX1_c	B6	16
AS-189	RN	NEs	RN_RUNX1_c	B7	1
AS-189	RN	NEs	RN_RUNX1_c	B8	5
AS-189	RN	NEs	RN_RUNX1_c	B9	16
AS-189	RN	NEs	RN_RUNX1_c	B10	0
AS-189	RN	NEs	RN_RUNX1_c	B11	1
AS-189	RN	NEs	RN_RUNX1_c	B12	57
AS-189	RN	NEs	RN_RUNX1_c	B13	21
AS-189	RN	NEs	RN_RUNX1_c	B14	0
AS-189	RN	NEs	RN_RUNX1_c	B15	2
AS-189	RN	NEs	RN_RUNX1_c	B16	7
AS-189	RN	NEs	RN_RUNX1_c	B17	19
AS-189	RN	NEs	RN_RUNX1_c	B18	24
AS-189	RN	NEs	RN_RUNX1_c	B19	12
AS-189	RN	NEs	RN_RUNX1_c	B20	20
AS-189	RN	NEs	RN_RUNX1_c	B21	5
AS-189	RN	NEs	RN_RUNX1_c	B22	6
AS-189	RN	NEs	RN_RUNX1_c	B23	5
AS-189	RN	NEs	RN_RUNX1_c	B24	22
AS-189	RN	NEs	RN_RUNX1_c	C1	3
AS-189	RN	NEs	RN_RUNX1_c	C2	19
AS-189	RN	NEs	RN_RUNX1_c	C3	4
AS-189	RN	NEs	RN_RUNX1_c	C4	3
AS-189	RN	NEs	RN_RUNX1_c	C5	0
AS-189	RN	NEs	RN_RUNX1_c	C6	2
AS-189	RN	NEs	RN_RUNX1_c	C7	2
AS-189	RN	NEs	RN_RUNX1_c	C8	9
AS-189	RN	NEs	RN_RUNX1_c	C9	34
AS-189	RN	NEs	RN_RUNX1_c	C10	3
AS-189	RN	NEs	RN_RUNX1_c	C11	0
AS-189	RN	NEs	RN_RUNX1_c	C12	11
AS-189	RN	NEs	RN_RUNX1_c	C13	17
AS-189	RN	NEs	RN_RUNX1_c	C14	0
