Plate	Patient	Cell_type	Amplicon	Well	Count
AS-195	RN	NEs	RN_RUNX1_c	A1	0
AS-195	RN	NEs	RN_RUNX1_c	A2	1
AS-195	RN	NEs	RN_RUNX1_c	A3	3
AS-195	RN	NEs	RN_RUNX1_c	A4	3
AS-195	RN	NEs	RN_RUNX1_c	A5	1
AS-195	RN	NEs	RN_RUNX1_c	A6	1
AS-195	RN	NEs	RN_RUNX1_c	A7	2
AS-195	RN	NEs	RN_RUNX1_c	A8	0
AS-195	RN	NEs	RN_RUNX1_c	A9	2
AS-195	RN	NEs	RN_RUNX1_c	A10	0
AS-195	RN	NEs	RN_RUNX1_c	A11	0
AS-195	RN	NEs	RN_RUNX1_c	A12	0
AS-195	RN	NEs	RN_RUNX1_c	A13	1
AS-195	RN	NEs	RN_RUNX1_c	A14	0
AS-195	RN	NEs	RN_RUNX1_c	A15	1
AS-195	RN	NEs	RN_RUNX1_c	A16	0
AS-195	RN	NEs	RN_RUNX1_c	A17	3
AS-195	RN	NEs	RN_RUNX1_c	A18	1
AS-195	RN	NEs	RN_RUNX1_c	A19	2
AS-195	RN	NEs	RN_RUNX1_c	A20	5
AS-195	RN	NEs	RN_RUNX1_c	A21	3
AS-195	RN	NEs	RN_RUNX1_c	A22	0
AS-195	RN	NEs	RN_RUNX1_c	A23	4
AS-195	RN	NEs	RN_RUNX1_c	A24	0
AS-195	RN	NEs	RN_RUNX1_c	B1	0
AS-195	RN	NEs	RN_RUNX1_c	B2	4
AS-195	RN	NEs	RN_RUNX1_c	B3	3
AS-195	RN	NEs	RN_RUNX1_c	B4	6
AS-195	RN	NEs	RN_RUNX1_c	B5	1
AS-195	RN	NEs	RN_RUNX1_c	B6	8
AS-195	RN	NEs	RN_RUNX1_c	B7	5
AS-195	RN	NEs	RN_RUNX1_c	B8	11
AS-195	RN	NEs	RN_RUNX1_c	B9	18
AS-195	RN	NEs	RN_RUNX1_c	B10	1
AS-195	RN	NEs	RN_RUNX1_c	B11	0
AS-195	RN	NEs	RN_RUNX1_c	B12	43
AS-195	RN	NEs	RN_RUNX1_c	B13	19
AS-195	RN	NEs	RN_RUNX1_c	B14	0
AS-195	RN	NEs	RN_RUNX1_c	B15	3
AS-195	RN	NEs	RN_RUNX1_c	B16	8
AS-195	RN	NEs	RN_RUNX1_c	B17	19
AS-195	RN	NEs	RN_RUNX1_c	B18	19
AS-195	RN	NEs	RN_RUNX1_c	B19	10
AS-195	RN	NEs	RN_RUNX1_c	B20	30
AS-195	RN	NEs	RN_RUNX1_c	B21	2
AS-195	RN	NEs	RN_RUNX1_c	B22	15
AS-195	RN	NEs	RN_RUNX1_c	B23	14
AS-195	RN	NEs	RN_RUNX1_c	B24	24
AS-195	RN	NEs	RN_RUNX1_c	C1	0
AS-195	RN	NEs	RN_RUNX1_c	C2	15
AS-195	RN	NEs	RN_RUNX1_c	C3	3
AS-195	RN	NEs	RN_RUNX1_c	C4	5
AS-195	RN	NEs	RN_RUNX1_c	C5	1
AS-195	RN	NEs	RN_RUNX1_c	C6	7
AS-195	RN	NEs	RN_RUNX1_c	C7	3
AS-195	RN	NEs	RN_RUNX1_c	C8	14
AS-195	RN	NEs	RN_RUNX1_c	C9	27
AS-195	RN	NEs	RN_RUNX1_c	C10	2
AS-195	RN	NEs	RN_RUNX1_c	C11	0
AS-195	RN	NEs	RN_RUNX1_c	C12	11
AS-195	RN	NEs	RN_RUNX1_c	C13	13
AS-195	RN	NEs	RN_RUNX1_c	C14	0
AS-195	RN	NEs	RN_RUNX1_c	C15	0
AS-195	RN	NEs	RN_RUNX1_c	C16	14
AS-195	RN	NEs	RN_RUNX1_c	C17	3
AS-195	RN	NEs	RN_RUNX1_c	C18	17
AS-195	RN	NEs	RN_RUNX1_c	C19	15
AS-195	RN	NEs	RN_RUNX1_c	C20	21
AS-195	RN	NEs	RN_RUNX1_c	C21	9
AS-195	RN	NEs	RN_RUNX1_c	C22	8
AS-195	RN	NEs	RN_RUNX1_c	C23	8
AS-195	RN	NEs	RN_RUNX1_c	C24	3
