Plate	Patient	Cell_type	Amplicon	Well	Count
AS-214	GR	Monocytes	GR_TET2a	A1	1
AS-214	GR	Monocytes	GR_TET2a	A2	2
AS-214	GR	Monocytes	GR_TET2a	A3	2
AS-214	GR	Monocytes	GR_TET2a	A4	22
AS-214	GR	Monocytes	GR_TET2a	A5	34
AS-214	GR	Monocytes	GR_TET2a	A6	24
AS-214	GR	Monocytes	GR_TET2a	A7	0
AS-214	GR	Monocytes	GR_TET2a	A8	39
AS-214	GR	Monocytes	GR_TET2a	A9	2
AS-214	GR	Monocytes	GR_TET2a	A10	1
AS-214	GR	Monocytes	GR_TET2a	A11	2
AS-214	GR	Monocytes	GR_TET2a	A12	8
AS-214	GR	Monocytes	GR_TET2a	A13	9
AS-214	GR	Monocytes	GR_TET2a	A14	6
AS-214	GR	Monocytes	GR_TET2a	A15	0
AS-214	GR	Monocytes	GR_TET2a	A16	13
AS-214	GR	Monocytes	GR_TET2a	A17	2
AS-214	GR	Monocytes	GR_TET2a	A18	9
AS-214	GR	Monocytes	GR_TET2a	A19	1
AS-214	GR	Monocytes	GR_TET2a	A20	0
AS-214	GR	Monocytes	GR_TET2a	A21	68
AS-214	GR	Monocytes	GR_TET2a	A22	23
AS-214	GR	Monocytes	GR_TET2a	A23	613
AS-214	GR	Monocytes	GR_TET2a	A24	1
AS-214	GR	Monocytes	GR_TET2a	B1	0
AS-214	GR	Monocytes	GR_TET2a	B2	2
AS-214	GR	Monocytes	GR_TET2a	B3	3
AS-214	GR	Monocytes	GR_TET2a	B4	31
AS-214	GR	Monocytes	GR_TET2a	B5	29
AS-214	GR	Monocytes	GR_TET2a	B6	19
AS-214	GR	Monocytes	GR_TET2a	B7	0
AS-214	GR	Monocytes	GR_TET2a	B8	27
AS-214	GR	Monocytes	GR_TET2a	B9	308
AS-214	GR	Monocytes	GR_TET2a	B10	0
AS-214	GR	Monocytes	GR_TET2a	B11	2
AS-214	GR	Monocytes	GR_TET2a	B12	8
AS-214	GR	Monocytes	GR_TET2a	B13	14
AS-214	GR	Monocytes	GR_TET2a	B14	5
AS-214	GR	Monocytes	GR_TET2a	B15	0
AS-214	GR	Monocytes	GR_TET2a	B16	12
AS-214	GR	Monocytes	GR_TET2a	B17	0
AS-214	GR	Monocytes	GR_TET2a	B18	27
AS-214	GR	Monocytes	GR_TET2a	B19	2
AS-214	GR	Monocytes	GR_TET2a	B20	8
AS-214	GR	Monocytes	GR_TET2a	B21	11
AS-214	GR	Monocytes	GR_TET2a	B22	13
AS-214	GR	Monocytes	GR_TET2a	B23	0
AS-214	GR	Monocytes	GR_TET2a	B24	0
AS-214	GR	Monocytes	GR_TET2a	C1	7
AS-214	GR	Monocytes	GR_TET2a	C2	1
AS-214	GR	Monocytes	GR_TET2a	C3	1
AS-214	GR	Monocytes	GR_TET2a	C4	44
AS-214	GR	Monocytes	GR_TET2a	C5	27
AS-214	GR	Monocytes	GR_TET2a	C6	43
AS-214	GR	Monocytes	GR_TET2a	C7	2
AS-214	GR	Monocytes	GR_TET2a	C8	60
AS-214	GR	Monocytes	GR_TET2a	C9	1
AS-214	GR	Monocytes	GR_TET2a	C10	0
AS-214	GR	Monocytes	GR_TET2a	C11	9
AS-214	GR	Monocytes	GR_TET2a	C12	22
AS-214	GR	Monocytes	GR_TET2a	C13	543
AS-214	GR	Monocytes	GR_TET2a	C14	4
AS-214	GR	Monocytes	GR_TET2a	C15	0
